Outlet_Id,Retail_Outlet,Zone,Town,Distributor,Route,Channel,Category,DSE,STL,Transaction_Date,Status
17043,KBM Trading,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-22 10:24:36,Active
17037,Ugrachandi Khadhya Bhandar Busy,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-04-24 22:24:32,Active
22097,Piush kirana jenral store,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Medium Traditional,Mini Mart,Krishna Simkhada,Bibash Khatiwada,2017-04-24 22:23:38,Active
18347,Ujjwal Cold Store,Kathmandu,Kalanki,Sayapatri Enterprises,Balaju,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-18 10:12:04,Active
19861,J S Shopping Center(unknown),Kathmandu,Kalanki,Sayapatri Enterprises,Balaju,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-18 12:33:41,Active
17769,Naya Pradhan Store,Kathmandu,Kalanki,Sayapatri Enterprises,Balaju,Medium Traditional,Mini Mart,Krishna Simkhada,Bibash Khatiwada,2017-03-30 16:13:16,Active
18365,Shree Balaju Store,Kathmandu,Kalanki,Sayapatri Enterprises,Balaju,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-18 12:33:40,Active
14016,Raju Shop,Kathmandu,Chabahil,General Distributors,Dhumbarai A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-21 08:39:02,Active
10327,Ramailo Khadhya Store,Kathmandu,Chabahil,General Distributors,Dhumbarai A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-21 08:40:08,Active
14969,M K Concern,Kathmandu,Chabahil,General Distributors,Dhumbarai A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-07 18:47:15,Active
12241,Kishwor Traders,Kathmandu,Chabahil,General Distributors,Old Baneswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-17 09:42:34,Active
12343,S.s Store,Kathmandu,Chabahil,General Distributors,Koteswor,Medium Traditional,Mini Mart,Raj Kumar Kandel,Khim Sharma,2017-05-21 11:05:42,Active
14144,Surya Store,Kathmandu,Chabahil,General Distributors,Dhumbarai A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-21 08:38:18,Active
4939,Sojan Store,Valley,Patan,Amazon Distributors Patan,Lagankhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-04-09 15:00:19,Active
5951,Nabadurga Store,Valley,Patan,Amazon Distributors Patan,Lagankhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-21 07:10:07,Active
10041,Bastakoti Store,Kathmandu,Chabahil,General Distributors,Chabahil A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-22 09:42:41,Active
10530,Jaya Kumari  Maa Khadya Store,Kathmandu,Chabahil,General Distributors,Chabahil A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-22 05:30:16,Active
9297,Purna Terdasa,Kathmandu,Chabahil,General Distributors,Chhuchhepati A2,Large A Traditional,Traditional,Rajiv Das,Khim Sharma,2017-05-11 17:10:16,Active
9678,Aakles Bakery Center,Kathmandu,Chabahil,General Distributors,Chabahil A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-15 10:00:03,Active
9523,Ramesh Shrestha,Kathmandu,Chabahil,General Distributors,Chabahil A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-22 09:40:13,Active
11047,Maya Bazar,Kathmandu,Chabahil,General Distributors,Jorpati A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-16 09:13:11,Active
11201,Om Kageshwor  Khabhya Store,Kathmandu,Chabahil,General Distributors,Jorpati A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-09 20:14:54,Active
10544,Basnet Store,Kathmandu,Chabahil,General Distributors,Narantar A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-21 10:17:09,Active
10806,Tiwari Store,Kathmandu,Chabahil,General Distributors,Narantar A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-17 06:08:10,Active
11232,Santosh Store,Kathmandu,Chabahil,General Distributors,Narantar A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-17 09:16:34,Active
13250,Shrestha Store,Kathmandu,Chabahil,General Distributors,New Baneswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-15 10:40:48,Active
22302,Lumbini Grocery,Kathmandu,Chabahil,General Distributors,New Baneswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-02-27 21:53:32,Active
10053,Binod Store(unknown_photo Not Allowed),Kathmandu,Chabahil,General Distributors,Old Baneswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-17 07:27:23,Active
10052,Niva Store,Kathmandu,Chabahil,General Distributors,Old Baneswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-17 07:26:23,Active
14200,Arihant Store,Kathmandu,Chabahil,General Distributors,Putali Sadak,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-09 20:47:27,Active
13747,Bhitte Ganesh Store,Kathmandu,Chabahil,General Distributors,Dhumbarai A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-07 19:44:27,Active
13129,Laxmi Narayan Cold Store,Kathmandu,Chabahil,General Distributors,Bisalnagar A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-22 05:28:03,Active
11557,Arpana Store,Kathmandu,Chabahil,General Distributors,Phulbari A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-03-23 20:19:55,Active
12106,Khanda Devi Khadhye Store,Kathmandu,Chabahil,General Distributors,Mahankal A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-17 09:57:55,Active
12125,Lama Khadhye Store,Kathmandu,Chabahil,General Distributors,Mahankal A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-18 06:50:35,Active
12127,Krishna Store,Kathmandu,Chabahil,General Distributors,Mahankal A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-04 16:50:52,Active
12763,Family Enterprises,Kathmandu,Chabahil,General Distributors,Mahankal A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-04 17:55:31,Active
12585,Kafle Store,Kathmandu,Chabahil,General Distributors,Sukedhara,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-19 07:32:07,Active
13453,Kapan Khadey Store,Kathmandu,Chabahil,General Distributors,Sukedhara,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-02-10 21:22:45,Active
13420,Bhairab Shree Khadey Store,Kathmandu,Chabahil,General Distributors,Sukedhara,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-19 07:33:01,Active
12893,Miteri Kinmel Center,Kathmandu,Chabahil,General Distributors,Sukedhara clony A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-19 06:28:52,Active
13221,Bhairab Khadya Store,Kathmandu,Chabahil,General Distributors,Sukedhara,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-19 07:33:57,Active
9655,Shrestha Store,Kathmandu,Chabahil,General Distributors,Kapan Gopi Krishna A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-05-08 18:38:36,Active
12800,Nepal Store,Kathmandu,Chabahil,General Distributors,Gpoikrishna A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-12 18:02:42,Active
12476,Ram Store,Kathmandu,Chabahil,General Distributors,Milan chok B,Medium Traditional,Mini Mart,Jeevan Shahi,Khim Sharma,2017-04-26 19:56:47,Active
12480,Dinesh Khadhye Store,Kathmandu,Chabahil,General Distributors,Gpoikrishna A,Large A Traditional,Traditional,Kumar Poudel,Khim Sharma,2017-05-19 04:29:41,Active
5078,Uttar Store,Valley,Patan,Amazon Distributors Patan,Tangal A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-22 05:54:48,Active
5140,Madan Kirana Pasal,Valley,Patan,Amazon Distributors Patan,Tangal A,Medium Traditional,Mini Mart,Gopal Maharjan,Laxman Maharjan,2017-05-15 11:43:55,Active
7856,Sahan Khadya Store,Valley,Patan,Amazon Distributors Patan,Sanepa A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-17 11:29:50,Active
8650,Family Home,Valley,Patan,Amazon Distributors Patan,Sanepa A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-17 11:12:12,Active
8282,Sapkota  Stores,Valley,Patan,Amazon Distributors Patan,Bhaisepati A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-18 07:09:13,Active
7967,New Sagar Store,Valley,Patan,Amazon Distributors Patan,Bhaisepati A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-18 10:01:23,Active
8195,Manahari Kirana Store,Valley,Patan,Amazon Distributors Patan,Bhaisepati A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-18 10:21:48,Active
8190,Khadka Store,Valley,Patan,Amazon Distributors Patan,Bhaisepati A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-18 11:16:45,Active
14649,Kumari Store,Kathmandu,Chabahil,General Distributors,Putali Sadak,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-04-25 17:43:08,Active
9370,Shiva Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 05:43:40,Active
9333,Udai Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 08:22:49,Active
9301,Radhe Radhe Kirana Pasal,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-04-30 19:21:13,Active
10351,Sagarmatha Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-02-12 21:36:41,Active
10418,Sandeep Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2016-12-04 19:10:06,Active
10412,Smriti General Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-02-19 21:27:23,Active
10411,Dipika  Jalpa Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2016-11-27 18:32:52,Active
10311,Gautam Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-07 17:51:21,Active
10300,Kajal Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 08:08:23,Active
10305,Rojina Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 08:03:27,Active
14030,Regmi store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Large A Traditional,Traditional,Rajiv Das,Khim Sharma,2017-05-21 10:21:25,Active
14131,Haamro Supath Mulya Pasal,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-07 17:35:10,Active
14141,Shrestha Cold Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-21 10:47:06,Active
14132,Jayasawal store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-16 17:42:59,Active
14140,Rk Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-09 17:29:31,Active
10360,Teen Kanya Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-07 20:45:06,Active
10278,Kusum Cold Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-03-05 18:21:49,Active
10269,Barta Devi Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-23 20:29:25,Active
10075,Gorkhali Cold Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-21 10:29:01,Active
10087,Rajesh Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-23 20:55:11,Active
10110,Anjina Kirana,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-23 20:43:29,Active
10130,Rachana Cold Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-09 17:36:30,Active
14796,Laxmi Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-21 11:37:32,Active
9790,Soniya Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-07 19:32:18,Active
9712,Radha Swami Cold Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-16 19:55:34,Active
9530,Ramesh Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Large A Traditional,Traditional,Rajiv Das,Khim Sharma,2017-05-21 11:34:55,Active
9533,Bhandari Kirana Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-04-16 19:54:58,Active
9540,ChandraBinayak Store,Kathmandu,Chabahil,General Distributors,Hadigaun A2,Medium Traditional,Mini Mart,Rajiv Das,Khim Sharma,2017-05-21 10:35:27,Active
9421,R.K Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-04-23 19:13:48,Active
9918,Subhalabh Kirana,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-21 06:20:07,Active
9394,Shyam Krishna Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-05-21 07:09:54,Active
9355,New Karki Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-21 06:11:47,Active
9440,DDC store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-21 06:06:51,Active
9434,Puja Samagri Chandra Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Large A Traditional,Traditional,Raju Thapa,Khim Sharma,2017-04-23 20:01:31,Active
9576,Sor Traders,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-04-30 16:12:58,Active
9587,Prinsha Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-04-16 16:26:08,Active
9570,Karki Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-21 05:54:35,Active
9636,New Store,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-05-21 05:50:56,Active
9670,Pamadip Trades,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2017-03-26 20:00:34,Active
9744,Bharti Kirana Pasal,Kathmandu,Chabahil,General Distributors,Ganesthan A1,Medium Traditional,Mini Mart,Raju Thapa,Khim Sharma,2016-09-18 16:57:42,Active
21922,Raja Cold Store,Kathmandu,Tahachal,Amazon Distributors Tahachal,Ason,Large A Traditional,Traditional,Hari Babu,Deepak Baral,2017-04-30 19:02:48,Active
18683,Sulav Super Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu,Large A Traditional,Traditional,Bashu Dev Phuyal,Bishal Thapa,2017-04-09 17:24:11,Active
20024,Rabin Mart,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu,Large A Traditional,Traditional,Bashu Dev Phuyal,Bishal Thapa,2017-04-30 17:44:35,Active
22498,Prime Mini Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu,Large A Traditional,Traditional,Bashu Dev Phuyal,Bishal Thapa,2017-02-26 18:55:18,Active
18209,S.N.S Mart,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 06:07:08,Active
18008,Deepak Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 07:59:15,Active
18055,Chandra Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 08:00:28,Active
22131,Raghu Store,Kathmandu,Tahachal,Amazon Distributors Tahachal,Wotu pukhya,Large A Traditional,Traditional,Hari Babu,Deepak Baral,2017-05-09 16:03:38,Active
22104,Sunil Store,Kathmandu,Tahachal,Amazon Distributors Tahachal,"Sundhara 
",Large A Traditional,Traditional,Prakash Pradhan,Deepak Baral,2017-04-04 17:26:23,Active
18267,Dhading Cold Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:03:37,Active
18266,Swidhan Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 09:39:00,Active
18301,Kejan Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:09:01,Active
18259,Shrestha Cold Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:18:32,Active
18262,Hari Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 09:05:03,Active
18261,Bishwa Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-I,Medium Traditional,Mini Mart,Bishal Khanal,Bishal Thapa,2017-05-22 10:17:41,Active
18258,Neupane Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:10:16,Active
18275,Rajan Cold Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:07:49,Active
18287,Samrat Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-I,Medium Traditional,Mini Mart,Bishal Khanal,Bishal Thapa,2017-05-22 10:12:24,Active
18163,Gorkha Kirana Pasal,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 08:11:52,Active
18096,Gorkhali Khadya Bhandar,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Medium Traditional,Mini Mart,Uday Budhathoki,Bishal Thapa,2017-05-21 09:07:33,Active
18220,New R R Khaddya Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 06:49:33,Active
18228,Mahanagar Kirana Tatha Khaddya,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-A,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-21 06:18:41,Active
18324,Namaste Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Khusibu-I,Medium Traditional,Mini Mart,Bishal Khanal,Bishal Thapa,2017-04-16 19:33:03,Active
19808,Shakya Pharmacy,Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Large A Traditional,Traditional,Kabi Raj Pudasaini,Bishal Thapa,2017-02-26 17:55:44,Active
19783,Gorkhali Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Medium Traditional,Mini Mart,Kabi Raj Pudasaini,Bishal Thapa,2017-05-07 16:41:56,Active
19753,Moonlight Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Large A Traditional,Traditional,Kabi Raj Pudasaini,Bishal Thapa,2017-05-07 17:19:52,Active
22623,Shree P S Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Medium Traditional,Mini Mart,Kabi Raj Pudasaini,Bishal Thapa,2017-04-16 19:45:34,Active
19882,Bhawani Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Dhobichor-I,Small A Traditional,Beauty,Avinash Chaudhary,Bishal Thapa,2017-05-08 18:12:02,Active
19921,Dipak Cold Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Medium Traditional,Mini Mart,Kabi Raj Pudasaini,Bishal Thapa,2017-04-16 17:36:14,Active
19990,Shop Right Supermarket(unknown),Kathmandu,Samakhusi,Om Devaya Trade Concern,Pakanajol,Large A Traditional,Traditional,Kabi Raj Pudasaini,Bishal Thapa,2017-05-07 17:59:12,Active
18407,Jay Siddiganesh Khadhye Store,Kathmandu,Samakhusi,Om Devaya Trade Concern,Mayeepee,Large A Traditional,Traditional,Uday Budhathoki,Bishal Thapa,2017-05-08 17:30:42,Active
